Sexo	Provincias	Municipios	Edad (grupos quinquenales)	Periodo	Total
Total	28 Madrid	28030 Cabrera, La	De 95 a 99 años  	1 de enero de 2022	14
Total	28 Madrid	28030 Cabrera, La	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28031 Cadalso de los Vidrios	De 65 a 69 años	1 de enero de 2022	176
Total	28 Madrid	28031 Cadalso de los Vidrios	De 70 a 74 años  	1 de enero de 2022	183
Total	28 Madrid	28031 Cadalso de los Vidrios	De 75 a 79 años  	1 de enero de 2022	138
Total	28 Madrid	28031 Cadalso de los Vidrios	De 80 a 84 años  	1 de enero de 2022	79
Total	28 Madrid	28031 Cadalso de los Vidrios	De 85 a 89 años  	1 de enero de 2022	49
Total	28 Madrid	28031 Cadalso de los Vidrios	De 90 a 94 años  	1 de enero de 2022	51
Total	28 Madrid	28031 Cadalso de los Vidrios	De 95 a 99 años  	1 de enero de 2022	10
Total	28 Madrid	28031 Cadalso de los Vidrios	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28032 Camarma de Esteruelas	De 65 a 69 años	1 de enero de 2022	272
Total	28 Madrid	28032 Camarma de Esteruelas	De 70 a 74 años  	1 de enero de 2022	243
Total	28 Madrid	28032 Camarma de Esteruelas	De 75 a 79 años  	1 de enero de 2022	159
Total	28 Madrid	28032 Camarma de Esteruelas	De 80 a 84 años  	1 de enero de 2022	82
Total	28 Madrid	28032 Camarma de Esteruelas	De 85 a 89 años  	1 de enero de 2022	75
Total	28 Madrid	28032 Camarma de Esteruelas	De 90 a 94 años  	1 de enero de 2022	29
Total	28 Madrid	28032 Camarma de Esteruelas	De 95 a 99 años  	1 de enero de 2022	2
Total	28 Madrid	28032 Camarma de Esteruelas	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28033 Campo Real	De 65 a 69 años	1 de enero de 2022	266
Total	28 Madrid	28033 Campo Real	De 70 a 74 años  	1 de enero de 2022	170
Total	28 Madrid	28033 Campo Real	De 75 a 79 años  	1 de enero de 2022	150
Total	28 Madrid	28033 Campo Real	De 80 a 84 años  	1 de enero de 2022	105
Total	28 Madrid	28033 Campo Real	De 85 a 89 años  	1 de enero de 2022	108
Total	28 Madrid	28033 Campo Real	De 90 a 94 años  	1 de enero de 2022	67
Total	28 Madrid	28033 Campo Real	De 95 a 99 años  	1 de enero de 2022	16
Total	28 Madrid	28033 Campo Real	100 y más años	1 de enero de 2022	2
Total	28 Madrid	28034 Canencia	De 65 a 69 años	1 de enero de 2022	31
Total	28 Madrid	28034 Canencia	De 70 a 74 años  	1 de enero de 2022	16
Total	28 Madrid	28034 Canencia	De 75 a 79 años  	1 de enero de 2022	24
Total	28 Madrid	28034 Canencia	De 80 a 84 años  	1 de enero de 2022	21
Total	28 Madrid	28034 Canencia	De 85 a 89 años  	1 de enero de 2022	25
Total	28 Madrid	28034 Canencia	De 90 a 94 años  	1 de enero de 2022	10
Total	28 Madrid	28034 Canencia	De 95 a 99 años  	1 de enero de 2022	4
Total	28 Madrid	28034 Canencia	100 y más años	1 de enero de 2022	0
Total	28 Madrid	28035 Carabaña	De 65 a 69 años	1 de enero de 2022	87
Total	28 Madrid	28035 Carabaña	De 70 a 74 años  	1 de enero de 2022	85
Total	28 Madrid	28035 Carabaña	De 75 a 79 años  	1 de enero de 2022	61
Total	28 Madrid	28035 Carabaña	De 80 a 84 años  	1 de enero de 2022	49
Total	28 Madrid	28035 Carabaña	De 85 a 89 años  	1 de enero de 2022	48
Total	28 Madrid	28035 Carabaña	De 90 a 94 años  	1 de enero de 2022	26
Total	28 Madrid	28035 Carabaña	De 95 a 99 años  	1 de enero de 2022	16
Total	28 Madrid	28035 Carabaña	100 y más años	1 de enero de 2022	5
Total	28 Madrid	28036 Casarrubuelos	De 65 a 69 años	1 de enero de 2022	173
Total	28 Madrid	28036 Casarrubuelos	De 70 a 74 años  	1 de enero de 2022	113
Total	28 Madrid	28036 Casarrubuelos	De 75 a 79 años  	1 de enero de 2022	83
Total	28 Madrid	28036 Casarrubuelos	De 80 a 84 años  	1 de enero de 2022	40
Total	28 Madrid	28036 Casarrubuelos	De 85 a 89 años  	1 de enero de 2022	21
Total	28 Madrid	28036 Casarrubuelos	De 90 a 94 años  	1 de enero de 2022	21
Total	28 Madrid	28036 Casarrubuelos	De 95 a 99 años  	1 de enero de 2022	1
Total	28 Madrid	28036 Casarrubuelos	100 y más años	1 de enero de 2022	3
Total	28 Madrid	28037 Cenicientos	De 65 a 69 años	1 de enero de 2022	129
Total	28 Madrid	28037 Cenicientos	De 70 a 74 años  	1 de enero de 2022	112
Total	28 Madrid	28037 Cenicientos	De 75 a 79 años  	1 de enero de 2022	94
Total	28 Madrid	28037 Cenicientos	De 80 a 84 años  	1 de enero de 2022	96
Total	28 Madrid	28037 Cenicientos	De 85 a 89 años  	1 de enero de 2022	80
Total	28 Madrid	28037 Cenicientos	De 90 a 94 años  	1 de enero de 2022	33
Total	28 Madrid	28037 Cenicientos	De 95 a 99 años  	1 de enero de 2022	12
Total	28 Madrid	28037 Cenicientos	100 y más años	1 de enero de 2022	1
Total	28 Madrid	28038 Cercedilla	De 65 a 69 años	1 de enero de 2022	366
Total	28 Madrid	28038 Cercedilla	De 70 a 74 años  	1 de enero de 2022	287
Total	28 Madrid	28038 Cercedilla	De 75 a 79 años  	1 de enero de 2022	225
Total	28 Madrid	28038 Cercedilla	De 80 a 84 años  	1 de enero de 2022	196
Total	28 Madrid	28038 Cercedilla	De 85 a 89 años  	1 de enero de 2022	144
Total	28 Madrid	28038 Cercedilla	De 90 a 94 años  	1 de enero de 2022	72
Total	28 Madrid	28038 Cercedilla	De 95 a 99 años  	1 de enero de 2022	27
Total	28 Madrid	28038 Cercedilla	100 y más años	1 de enero de 2022	4
Total	28 Madrid	28039 Cervera de Buitrago	De 65 a 69 años	1 de enero de 2022	9
Total	28 Madrid	28039 Cervera de Buitrago	De 70 a 74 años  	1 de enero de 2022	10
Total	28 Madrid	28039 Cervera de Buitrago	De 75 a 79 años  	1 de enero de 2022	13
Total	28 Madrid	28039 Cervera de Buitrago	De 80 a 84 años  	1 de enero de 2022	8
